source1_id,true_candidate_id,candidate_source,country,source1_name,true_candidate_name,source1_address,true_candidate_address,source1_core_name,candidate_core_name,pass_name_prefix_4,pass_name_prefix_6,pass_name_tokens,pass_name_sorted,pass_name_compressed,pass_address_key,common_keys,failure_category,failure_reason
S1-906485020,S3-128699941,source3,US,Commercial Network Laboratories LLC,Commercial Laboratories LLC Center,"2407 Carlisle Avenue, Henrico County, VA","Carlisle Avenue, Henrico County, Virginia",commercial network laboratories,commercial laboratories llc center,True,True,True,False,False,False,US|TOK|commercial;US|NP4|comm;US|NP6|commer;US|TOK|laboratories,Truncated by max_candidates_per_query,"Shared key survived (['US|NP6|commer']), but candidate rank exceeded top-200"
S1-120339770,S3-602431087,source3,India,ONP Consultancy Limited,ONP Limited Center,"C/O Vaibhav Soni Ward No 2, Kanak Nagar, Bara, Allahabad, Uttar Pradesh","C/o Vaibhav Soni Ward No #2, Bara, UP",onp consultancy,onp ltd center,False,False,False,False,False,False,,Prefix-3 match (Typo after 3 chars),Names share first 3 chars ('onp') but diverge at char 4
S1-399298487,S2-18002875,source2,US,Cascade,Cascade - 9588927937,"1820 Woodland Avenue, Birmingham, AL","1820 WOODLND AVENUE, BIRMINGHAM, AL",cascade,cascade 9588927937,True,True,True,False,False,False,US|NP4|casc;US|NP6|cascad;US|TOK|cascade,Key pruned (Block size > 500),"All shared keys (['US|NP4|casc', 'US|NP6|cascad', 'US|TOK|cascade']) exceeded max_block_size"
S1-885485250,S3-604415917,source3,India,Shivam Constructions,Shri Shivam Constructions LLP,"B. No. 12, Anthem Site, Gundlapochampalli, Medchal, Hyderabad, Telangana","B. No. ##12, Hyderabad, TG",shivam constructions,shri shivam constructions,False,False,True,False,False,False,India|TOK|constructions;India|TOK|shivam,Key pruned (Block size > 500),"All shared keys (['India|TOK|constructions', 'India|TOK|shivam']) exceeded max_block_size"
S1-885067039,S3-269050716,source3,US,Amber,Ábber,"IN, North Manchester, 208 4th Street","08 Fourth Street, North Manchester, Indiana",amber,abber,False,False,False,False,False,False,,"Address similar, Name alias/mismatch","Address shares tokens {'north', 'manchester'}, but names share 0 tokens"
S1-449861100,S2-415141905,source2,US,Silver Business Laboratories,Silver Businbrss Laboratories,"150 35th Street, Canton, OH","15 35TH ST, CANTON, OH",silver business laboratories,silver businbrss laboratories,True,True,True,False,False,False,US|NP4|silv;US|TOK|silver;US|NP6|silver;US|TOK|laboratories,Key pruned (Block size > 500),"All shared keys (['US|NP4|silv', 'US|TOK|silver', 'US|NP6|silver', 'US|TOK|laboratories']) exceeded max_block_size"
S1-360607329,S3-727281824,source3,US,"Krebs, Barber & Smith Cslm",Lummiratavo,"577 Old Lantana Road, Crossville, TN","77 Old Lantana Road, Tennessee, Crossville",krebs barber and smith cslm,lummiratavo,False,False,False,False,False,False,,"Address similar, Name alias/mismatch","Address shares tokens {'lantana', 'crossville', 'old'}, but names share 0 tokens"
S1-544682121,S2-347454751,source2,India,United Projects Pvt Ltd,Pvt United Projcets Ltd,"C/O Bishwa Raman Kumar Singh, S/O Dr Rama Sinha Gachhi Tola, Near Bus Stand, P.S- Town Th, Ana, Begusarai, Bihar","PLOT 892 C/O BISHWA RAMAN KUMAR SINGH, N/A, BEGUSARAI, LAKHMINIA, Bihar",united projects,united projcets,True,True,True,False,False,False,India|NP6|united;India|NP4|unit;India|TOK|united,Key pruned (Block size > 500),"All shared keys (['India|NP6|united', 'India|NP4|unit', 'India|TOK|united']) exceeded max_block_size"
S1-380690295,S2-879846104,source2,US,Silver Pizza,Silver Pglinz,"7002 Nob Hill Drive, Fort Thomas, KY","7002-7004 NOB HILL DR, NULL, FT THOMAS, KY",silver pizza,silver pglinz,True,True,True,False,False,False,US|NP4|silv;US|TOK|silver;US|NP6|silver,Key pruned (Block size > 500),"All shared keys (['US|NP4|silv', 'US|TOK|silver', 'US|NP6|silver']) exceeded max_block_size"
S1-635996806,S2-756480026,source2,India,Global Consultants Private Limited,ग्लोबल कंसल्टेंट्स प्राइवेट लिमिटेड,"Mumbai, Maharashtra, Mumbai City, 306, Sangeet Plaza, Opp. Marol Fire Brigade, Marol Maroshi Road, Marol, Andheri (East, ).","306/2, MUMBAI CITY, MUMBAI, महाराष्ट्र",global consultants,गल बल क सलट टस पर इव ट ल म ट ड,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
